0,5,65
0,6,65
0,7,65
0,8,65
0,9,65
1,5,65
1,6,65
1,7,65
1,8,65
1,9,65
2,5,65
2,6,65
2,7,65
2,8,65
2,9,65
3,5,65
3,6,65
3,7,65
3,8,65
3,9,65
4,5,65
4,6,65
4,7,65
4,8,65
4,9,65
0,10,31
0,11,31
0,12,31
0,13,31
0,14,31
1,10,31
1,11,31
1,12,31
1,13,31
1,14,31
2,10,31
2,11,31
2,12,31
2,13,31
2,14,31
3,10,31
3,11,31
3,12,31
3,13,31
3,14,31
4,10,31
4,11,31
4,12,31
4,13,31
4,14,31
0,15,79
0,16,79
0,17,79
0,18,79
0,19,79
1,15,79
1,16,79
1,17,79
1,18,79
1,19,79
2,15,79
2,16,79
2,17,79
2,18,79
2,19,79
3,15,79
3,16,79
3,17,79
3,18,79
3,19,79
4,15,79
4,16,79
4,17,79
4,18,79
4,19,79
5,10,62
5,11,62
5,12,62
5,13,62
5,14,62
6,10,62
6,11,62
6,12,62
6,13,62
6,14,62
7,10,62
7,11,62
7,12,62
7,13,62
7,14,62
8,10,62
8,11,62
8,12,62
8,13,62
8,14,62
9,10,62
9,11,62
9,12,62
9,13,62
9,14,62
5,15,34
5,16,34
5,17,34
5,18,34
5,19,34
6,15,34
6,16,34
6,17,34
6,18,34
6,19,34
7,15,34
7,16,34
7,17,34
7,18,34
7,19,34
8,15,34
8,16,34
8,17,34
8,18,34
8,19,34
9,15,34
9,16,34
9,17,34
9,18,34
9,19,34
10,15,63
10,16,63
10,17,63
10,18,63
10,19,63
11,15,63
11,16,63
11,17,63
11,18,63
11,19,63
12,15,63
12,16,63
12,17,63
12,18,63
12,19,63
13,15,63
13,16,63
13,17,63
13,18,63
13,19,63
14,15,63
14,16,63
14,17,63
14,18,63
14,19,63
